id,team,season,games_played,wins,losses,ties,ots,points,regular_ot_wins,point_percent,goals_for,goals_allowed,shootout_win,goals_for_per_game,goals_allowed_per_game,pp_percent,pk_percent,shots_per_game,shots_allowed_per_game,faceoff_win_percent
261,Dallas Stars,2010-11,82,42,29,0,11,95,37,0.579,222,226,5,2.71,2.76,18,80.1,27.7,30.5,50
262,Calgary Flames,2010-11,82,41,29,0,12,94,32,0.573,241,230,9,2.94,2.8,19.5,81.2,30.5,28.5,48.1
263,New Jersey Devils,2010-11,82,38,39,0,5,81,35,0.494,171,207,3,2.09,2.52,14.3,83.4,28.6,26.2,51.2
264,Vancouver Canucks,2010-11,82,54,19,0,9,117,50,0.713,258,180,4,3.15,2.2,24.3,85.6,32,30.1,54.9
265,Detroit Red Wings,2010-11,82,47,25,0,10,104,43,0.634,257,237,4,3.13,2.89,22.3,82.3,33.6,30.7,51.9
266,Boston Bruins,2010-11,82,46,25,0,11,103,44,0.628,244,189,2,2.98,2.3,16.2,82.6,32.9,32.7,51.9
267,San Jose Sharks,2010-11,82,48,25,0,9,105,43,0.64,243,208,5,2.96,2.54,23.5,79.6,34.5,28.9,53.7
268,Edmonton Oilers,2010-11,82,25,45,0,12,62,23,0.378,191,260,2,2.33,3.17,14.5,76.9,26.7,31.7,44.1
269,Chicago Blackhawks,2010-11,82,44,29,0,9,97,38,0.591,252,220,6,3.07,2.68,23.1,79.2,32.2,28.7,50.8
270,Columbus Blue Jackets,2010-11,82,34,35,0,13,81,29,0.494,210,250,5,2.56,3.05,14,80.3,30.6,29.8,51.2
271,Anaheim Ducks,2010-11,82,47,30,0,5,99,43,0.604,235,233,4,2.87,2.84,23.5,81.3,28.5,32.3,47.7
272,New York Islanders,2010-11,82,30,39,0,13,73,26,0.445,225,258,4,2.74,3.15,17.2,83.2,29.4,32,50.1
273,Toronto Maple Leafs,2009-10,82,30,38,0,14,74,26,0.451,210,263,4,2.56,3.21,14,74.7,32.6,29.8,50.8
274,New Jersey Devils,2009-10,82,48,27,0,7,103,42,0.628,216,186,6,2.63,2.27,18.7,82.8,30,27,49.4
275,Minnesota Wild,2009-10,82,38,36,0,8,84,33,0.512,214,239,5,2.61,2.91,19.1,82.7,27.6,29.5,52.2
276,Colorado Avalanche,2009-10,82,43,30,0,9,95,36,0.579,237,228,7,2.89,2.78,18.1,80.2,27.9,32.1,47.7
277,Pittsburgh Penguins,2009-10,82,47,28,0,7,101,39,0.616,249,235,8,3.04,2.87,17.2,84.1,32.8,28.7,49.3
278,Los Angeles Kings,2009-10,82,46,27,0,9,101,36,0.616,231,211,10,2.82,2.57,20.8,80.3,29.1,27.6,50.6
279,Montréal Canadiens,2009-10,82,39,33,0,10,88,32,0.537,210,218,7,2.56,2.66,21.8,83,28.6,32.1,49.7
280,Tampa Bay Lightning,2009-10,82,34,36,0,12,80,30,0.488,213,253,4,2.6,3.09,19.3,80,28.9,31.4,51.5
281,Nashville Predators,2009-10,82,47,29,0,6,100,39,0.61,217,221,8,2.65,2.7,16.4,77.1,30.6,29.2,49.2
282,Buffalo Sabres,2009-10,82,45,27,0,10,100,41,0.61,231,201,4,2.82,2.45,17.6,86.6,31.6,31.4,48.6
283,San Jose Sharks,2009-10,82,51,20,0,11,113,44,0.689,257,209,7,3.13,2.55,21,85,31.7,31.4,55.6
284,Detroit Red Wings,2009-10,82,44,24,0,14,102,38,0.622,223,207,6,2.72,2.52,19.2,83.9,33.4,29.4,51.1
285,Carolina Hurricanes,2009-10,82,35,37,0,10,80,31,0.488,226,251,4,2.76,3.06,16.9,80.6,29.3,31.4,48.1
286,Washington Capitals,2009-10,82,54,15,0,13,121,49,0.738,313,227,5,3.82,2.77,25.2,78.8,32.8,30.9,51.5
287,Edmonton Oilers,2009-10,82,27,47,0,8,62,19,0.378,206,278,8,2.51,3.39,17.3,78,28.3,33.1,46.4
288,Calgary Flames,2009-10,82,40,32,0,10,90,37,0.549,201,203,3,2.45,2.48,16,82.3,28.7,28.9,48
289,Philadelphia Flyers,2009-10,82,41,35,0,6,88,37,0.537,232,222,4,2.83,2.71,21.4,83,31.6,28.6,50.1
290,Chicago Blackhawks,2009-10,82,52,22,0,8,112,43,0.683,262,203,9,3.2,2.48,17.7,85.3,34.1,25.1,52.4
291,Atlanta Thrashers,2009-10,82,35,34,0,13,83,31,0.506,230,250,4,2.8,3.05,16.1,82.2,29.4,33.1,50.8
292,Anaheim Ducks,2009-10,82,39,32,0,11,89,34,0.543,233,243,5,2.84,2.96,21,79.3,30.1,33.4,48.1
293,Ottawa Senators,2009-10,82,44,32,0,6,94,39,0.573,220,233,5,2.68,2.84,16.9,84.3,29.7,28.5,49.3
294,Vancouver Canucks,2009-10,82,49,28,0,5,103,45,0.628,268,218,4,3.27,2.66,20.9,81.6,30.9,29.5,51.4
295,Boston Bruins,2009-10,82,39,30,0,13,91,29,0.555,196,191,10,2.39,2.33,16.6,86.4,31.7,29.8,52.6
296,St. Louis Blues,2009-10,82,40,32,0,10,90,33,0.549,218,218,7,2.66,2.66,16.9,86.8,29.8,30.2,48.8
297,Columbus Blue Jackets,2009-10,82,32,35,0,15,79,30,0.482,214,249,2,2.61,3.04,18.2,81.7,28.5,30.7,51
298,New York Islanders,2009-10,82,34,37,0,11,79,26,0.482,214,258,8,2.61,3.15,16,76.3,30.4,31.9,48.2
299,Arizona Coyotes,2009-10,82,50,25,0,7,107,36,0.652,211,196,14,2.57,2.39,14.6,84.5,30.5,29.6,50
300,New York Rangers,2009-10,82,38,33,0,11,87,35,0.53,219,214,3,2.67,2.61,18.3,84.3,29.6,29.9,49.2
301,Dallas Stars,2009-10,82,37,31,0,14,88,30,0.537,230,244,7,2.8,2.98,18.6,77.4,30.8,31.2,48.1
302,Florida Pathers,2009-10,82,32,37,0,13,77,26,0.47,202,234,6,2.46,2.85,14.2,79.4,28.4,34.1,49.9
303,New York Islanders,2008-09,82,26,47,0,9,61,23,0.372,198,274,3,2.41,3.34,16.9,79.8,28.9,33.5,45.7
304,Nashville Predators,2008-09,82,40,34,0,8,88,34,0.537,207,228,6,2.52,2.78,15.7,82.5,29,29.4,52.2
305,New York Rangers,2008-09,82,43,30,0,9,95,33,0.579,200,212,10,2.44,2.59,13.9,87.8,32.4,29.7,50.8
306,San Jose Sharks,2008-09,82,53,18,0,11,117,47,0.713,251,199,6,3.06,2.43,24.2,83.3,33.2,27.2,53.8
307,Columbus Blue Jackets,2008-09,82,41,31,0,10,92,35,0.561,220,223,6,2.68,2.72,12.7,82.1,28.9,27.8,51.2
308,Los Angeles Kings,2008-09,82,34,37,0,11,79,29,0.482,202,226,5,2.46,2.76,19.2,82.9,29.1,28.1,52
309,Arizona Coyotes,2008-09,82,36,39,0,7,79,33,0.482,205,249,3,2.5,3.04,14.5,76.8,28.1,31.6,44.8
310,Colorado Avalanche,2008-09,82,32,45,0,5,69,23,0.421,190,253,9,2.32,3.09,15.7,79.9,28.8,29,47.8
311,Chicago Blackhawks,2008-09,82,46,24,0,12,104,42,0.634,260,209,4,3.17,2.55,19.3,80.6,32.7,28.6,48.1
312,Carolina Hurricanes,2008-09,82,45,30,0,7,97,42,0.591,236,221,3,2.88,2.7,18.7,80.4,32.6,29.5,51.3
313,Washington Capitals,2008-09,82,50,24,0,8,108,46,0.659,268,240,4,3.27,2.93,25.2,80.6,33.5,29.5,51.7
314,Dallas Stars,2008-09,82,36,35,0,11,83,30,0.506,224,251,6,2.73,3.06,15.4,78.6,28.9,28.1,47.8
315,Buffalo Sabres,2008-09,82,41,32,0,9,91,33,0.555,242,229,8,2.95,2.79,20.9,81.8,30.5,31.4,47.4
316,Boston Bruins,2008-09,82,53,19,0,10,116,49,0.707,270,190,4,3.29,2.32,23.6,82.3,30.3,30.8,51
317,Ottawa Senators,2008-09,82,36,35,0,11,83,32,0.506,213,231,4,2.6,2.82,19.5,81.5,29.3,28.5,51.8
318,Toronto Maple Leafs,2008-09,82,34,35,0,13,81,28,0.494,244,286,6,2.98,3.49,18.8,74.7,31.7,30.3,50.1
319,Tampa Bay Lightning,2008-09,82,24,40,0,18,66,21,0.402,207,269,3,2.52,3.28,17.8,78,28.5,32.9,50.1
320,Philadelphia Flyers,2008-09,82,44,27,0,11,99,40,0.604,260,232,4,3.17,2.83,22.5,83,29.8,32.5,48.3
321,Edmonton Oilers,2008-09,82,38,35,0,9,85,32,0.518,228,244,6,2.78,2.98,16.9,77.5,28.1,32.5,47.9
322,Detroit Red Wings,2008-09,82,51,21,0,10,112,45,0.683,289,240,6,3.52,2.93,25.5,78.3,36.2,27.7,55.1
323,Florida Pathers,2008-09,82,41,30,0,11,93,38,0.567,231,223,3,2.82,2.72,16.6,82.6,29.4,34.7,47.9
324,Calgary Flames,2008-09,82,46,30,0,6,98,43,0.598,251,246,3,3.06,3,17,83.4,32.2,29.8,51.3
325,New Jersey Devils,2008-09,82,51,27,0,4,106,45,0.646,238,207,6,2.9,2.52,18.9,79.9,32.9,29.5,51.3
326,Pittsburgh Penguins,2008-09,82,45,28,0,9,99,39,0.604,258,233,6,3.15,2.84,17.2,82.7,29,30.3,49.1
327,Vancouver Canucks,2008-09,82,45,27,0,10,100,42,0.61,243,213,3,2.96,2.6,18.8,81.4,28.5,29.2,51.9
328,Atlanta Thrashers,2008-09,82,35,41,0,6,76,28,0.463,250,279,7,3.05,3.4,19.3,75.9,28.1,32.7,51.1
329,St. Louis Blues,2008-09,82,41,31,0,10,92,35,0.561,227,227,6,2.77,2.77,20.5,83.8,27.7,28.5,49.1
330,Montréal Canadiens,2008-09,82,41,30,0,11,93,34,0.567,242,240,7,2.95,2.93,19.3,82.4,30,31.7,50.9
331,Minnesota Wild,2008-09,82,40,33,0,9,89,35,0.543,214,197,5,2.61,2.4,20.1,87.6,27.5,30.7,48.5
332,Anaheim Ducks,2008-09,82,42,33,0,7,91,35,0.555,238,235,7,2.9,2.87,23.6,79.7,30.3,30.5,49.8
333,Washington Capitals,2007-08,82,43,31,0,8,94,39,0.573,238,227,4,2.9,2.77,18.8,80.5,31,27.5,51.2
334,Toronto Maple Leafs,2007-08,82,36,35,0,11,83,33,0.506,228,256,3,2.78,3.12,17.8,78.1,31,29.3,49.8
335,New Jersey Devils,2007-08,82,46,29,0,7,99,38,0.604,198,193,8,2.41,2.35,15.6,82.8,28.8,27.5,50.4
336,New York Rangers,2007-08,82,42,27,0,13,97,34,0.591,205,190,8,2.5,2.32,16.5,84.5,31.5,25.9,52.3
337,Minnesota Wild,2007-08,82,44,28,0,10,98,41,0.598,220,210,3,2.68,2.56,18.9,85.2,27,30.1,47.3
338,Dallas Stars,2007-08,82,45,30,0,7,97,40,0.591,237,204,5,2.89,2.49,18.1,85.6,26.7,26.1,50.4
339,Carolina Hurricanes,2007-08,82,43,33,0,6,92,41,0.561,250,246,2,3.05,3,18.8,78.9,32.5,28.9,49.4
340,Ottawa Senators,2007-08,82,43,31,0,8,94,40,0.573,258,242,3,3.15,2.95,18.3,81,30.1,30,51.6
341,Philadelphia Flyers,2007-08,82,42,29,0,11,95,39,0.579,245,227,3,2.99,2.77,21.8,83.2,28.8,31.8,49.3
342,Edmonton Oilers,2007-08,82,41,35,0,6,88,26,0.537,220,247,15,2.68,3.01,16.6,84.7,26.3,31.4,50.5
343,Montréal Canadiens,2007-08,82,47,25,0,10,104,42,0.634,257,216,5,3.13,2.63,24.1,82.5,29.1,31.6,49
344,Chicago Blackhawks,2007-08,82,40,34,0,8,88,35,0.537,234,231,5,2.85,2.82,15.9,82.1,28,28.6,52.3
345,Vancouver Canucks,2007-08,82,39,33,0,10,88,33,0.537,207,206,6,2.52,2.51,17.1,82.6,27.5,28.9,48.7
346,Columbus Blue Jackets,2007-08,82,34,36,0,12,80,31,0.488,190,210,3,2.32,2.56,14.9,83.3,29,27.4,52.3
347,Buffalo Sabres,2007-08,82,39,31,0,12,90,35,0.549,251,233,4,3.06,2.84,18,83.2,30.2,28.4,48.6
348,Los Angeles Kings,2007-08,82,32,43,0,7,71,27,0.433,226,263,5,2.76,3.21,17.4,78,28.6,32,47.8
349,New York Islanders,2007-08,82,35,38,0,9,79,30,0.482,189,240,5,2.3,2.93,14.5,81.9,29.7,30.3,51
350,Nashville Predators,2007-08,82,41,32,0,9,91,38,0.555,227,224,3,2.77,2.73,14.8,85.4,29.6,29.8,50.5
351,St. Louis Blues,2007-08,82,33,36,0,13,79,30,0.482,202,232,3,2.46,2.83,14.1,84.4,26.1,27.4,51.8
352,Arizona Coyotes,2007-08,82,38,37,0,7,83,33,0.506,209,225,5,2.55,2.74,18.6,80.7,30.5,30.7,48.6
353,Pittsburgh Penguins,2007-08,82,47,27,0,8,102,40,0.622,240,212,7,2.93,2.59,20.4,81,27.7,30.8,46.1
354,Anaheim Ducks,2007-08,82,47,27,0,8,102,39,0.622,197,184,8,2.4,2.24,16.6,83.1,27.3,28,50.2
355,Tampa Bay Lightning,2007-08,82,31,42,0,9,71,29,0.433,221,266,2,2.7,3.24,19.3,82,28.7,28.2,49.7
356,Boston Bruins,2007-08,82,41,29,0,12,94,35,0.573,206,215,6,2.51,2.62,17.5,78.6,28.5,30.5,49.1
357,Atlanta Thrashers,2007-08,82,34,40,0,8,76,25,0.463,207,266,9,2.52,3.24,16.4,78.8,25.8,33.9,51.8
358,Colorado Avalanche,2007-08,82,44,31,0,7,95,37,0.579,224,216,7,2.73,2.63,14.6,81.4,28.6,27.3,47.8
359,Detroit Red Wings,2007-08,82,54,21,0,7,115,49,0.701,252,179,5,3.07,2.18,20.7,84,34.4,23.5,53.3
360,Florida Pathers,2007-08,82,38,35,0,9,85,33,0.518,211,220,5,2.57,2.68,19.2,82.3,31.1,33.6,48.8
361,Calgary Flames,2007-08,82,42,30,0,10,94,39,0.573,226,224,3,2.76,2.73,16.8,81.5,28.2,28.5,49.5
362,San Jose Sharks,2007-08,82,49,23,0,10,108,43,0.659,216,187,6,2.63,2.28,18.7,85.8,29.6,24.2,51.2
363,Columbus Blue Jackets,2006-07,82,33,42,0,7,73,28,0.445,196,244,5,2.39,2.98,14.8,81.2,27.7,28.6,50.1
364,Carolina Hurricanes,2006-07,82,40,34,0,8,88,40,0.537,241,248,0,2.94,3.02,15,84.5,31.2,28.5,52.3
365,Dallas Stars,2006-07,82,50,25,0,7,107,41,0.652,217,193,9,2.65,2.35,18.5,84.4,28,25.4,50.1
366,New Jersey Devils,2006-07,82,49,24,0,9,107,39,0.652,206,193,10,2.51,2.35,17.7,85.2,28.7,28.4,49
367,Ottawa Senators,2006-07,82,48,25,0,9,105,46,0.64,286,216,2,3.49,2.63,17.9,84.5,32.3,30.2,50.3
368,New York Rangers,2006-07,82,42,30,0,10,94,33,0.573,233,211,9,2.84,2.57,18.5,83.8,31.5,28.4,49.9
369,Montréal Canadiens,2006-07,82,42,34,0,6,90,36,0.549,239,251,6,2.91,3.06,22.8,83.5,29.6,32.7,49.5
370,Nashville Predators,2006-07,82,51,23,0,8,110,45,0.671,266,207,6,3.24,2.52,17.4,85.8,27.6,31.2,50.3
371,Tampa Bay Lightning,2006-07,82,44,33,0,5,93,34,0.567,243,259,10,2.96,3.16,18.4,78.4,29.5,27.2,48.9
372,Florida Pathers,2006-07,82,35,31,0,16,86,33,0.524,245,249,2,2.99,3.04,18.1,82.4,33.3,29.3,47.9
373,Philadelphia Flyers,2006-07,82,22,48,0,12,56,21,0.341,213,297,1,2.6,3.62,14.1,84.5,28.8,32.6,47.1
374,Buffalo Sabres,2006-07,82,53,22,0,7,113,43,0.689,298,238,10,3.63,2.9,17.4,81.3,29.5,31,51.4
375,Edmonton Oilers,2006-07,82,32,43,0,7,71,29,0.433,192,245,3,2.34,2.99,14.2,84.5,26.7,29.7,51.5
376,Boston Bruins,2006-07,82,35,41,0,6,76,26,0.463,210,285,9,2.56,3.48,17.2,81.7,28.9,33.5,48.3
377,Arizona Coyotes,2006-07,82,31,46,0,5,67,26,0.409,211,282,5,2.57,3.44,16.5,78.3,28.3,30.1,52.7
378,Los Angeles Kings,2006-07,82,27,41,0,14,68,23,0.415,223,277,4,2.72,3.38,18.3,77.8,31,29.8,47.7
379,New York Islanders,2006-07,82,40,30,0,12,92,32,0.561,240,235,8,2.93,2.87,18.1,81.8,30,32.6,51.6
380,San Jose Sharks,2006-07,82,51,26,0,5,107,49,0.652,256,197,2,3.12,2.4,22.4,83.3,28.6,26.2,51.1
381,St. Louis Blues,2006-07,82,34,35,0,13,81,28,0.494,208,248,6,2.54,3.02,12.1,80,26.9,28.9,51.1
382,Atlanta Thrashers,2006-07,82,43,28,0,11,97,36,0.591,239,241,7,2.91,2.94,16.5,79.8,29.7,31.5,52.9
383,Chicago Blackhawks,2006-07,82,31,42,0,9,71,25,0.433,195,251,6,2.38,3.06,11.8,82.6,26.8,29.4,47.8
384,Calgary Flames,2006-07,82,43,29,0,10,96,40,0.585,255,221,3,3.11,2.7,18.2,80.4,27.3,30.5,48.4
385,Washington Capitals,2006-07,82,28,40,0,14,70,27,0.427,234,275,1,2.85,3.35,16.4,80.2,28,33.3,49.8
386,Colorado Avalanche,2006-07,82,44,31,0,7,95,39,0.579,267,247,5,3.26,3.01,21.1,80.2,31.7,29,48.6
387,Minnesota Wild,2006-07,82,48,26,0,8,104,38,0.634,225,184,10,2.74,2.24,18.9,86,29.6,28.8,47.6
388,Toronto Maple Leafs,2006-07,82,40,31,0,11,91,36,0.555,254,262,4,3.1,3.2,17.7,78.5,32.7,28.4,51.9
389,Vancouver Canucks,2006-07,82,49,26,0,7,105,44,0.64,217,197,5,2.65,2.4,17.2,86.9,29.3,29.2,49.2
390,Pittsburgh Penguins,2006-07,82,47,24,0,11,105,37,0.64,267,240,10,3.26,2.93,20.3,82.1,28.9,30.9,47
391,Anaheim Ducks,2006-07,82,48,20,0,14,110,44,0.671,254,198,4,3.1,2.41,22.4,85.1,31.5,27.4,51.8
392,Detroit Red Wings,2006-07,82,50,19,0,13,113,48,0.689,252,191,2,3.07,2.33,17.1,84.5,33.8,24.6,53.6